Category: All categories,
,
Month,Cupcake: (Worldwide)
2004-01,5
2004-02,6
2004-03,7
2004-04,5
2004-05,6
2004-06,5
2004-07,5
2004-08,6
2004-09,6
2004-10,9
2004-11,6
2004-12,7
2005-01,7
2005-02,8
2005-03,8
2005-04,8
2005-05,7
2005-06,7
2005-07,8
2005-08,8
2005-09,9
2005-10,11
2005-11,9
2005-12,9
2006-01,10
2006-02,12
2006-03,11
2006-04,12
2006-05,10
2006-06,11
2006-07,11
2006-08,12
2006-09,13
2006-10,16
2006-11,12
2006-12,12
2007-01,13
2007-02,17
2007-03,16
2007-04,16
2007-05,17
2007-06,16
2007-07,18
2007-08,18
2007-09,18
2007-10,23
2007-11,20
2007-12,18
2008-01,19
2008-02,26
2008-03,24
2008-04,24
2008-05,26
2008-06,24
2008-07,25
2008-08,26
2008-09,27
2008-10,32
2008-11,28
2008-12,27
2009-01,31
2009-02,37
2009-03,35
2009-04,35
2009-05,36
2009-06,36
2009-07,37
2009-08,39
2009-09,37
2009-10,45
2009-11,39
2009-12,36
2010-01,38
2010-02,47
2010-03,47
2010-04,47
2010-05,50
2010-06,49
2010-07,58
2010-08,64
2010-09,62
2010-10,67
2010-11,58
2010-12,57
2011-01,58
2011-02,74
2011-03,72
2011-04,76
2011-05,69
2011-06,71
2011-07,71
2011-08,77
2011-09,74
2011-10,88
2011-11,82
2011-12,81
2012-01,81
2012-02,99
2012-03,92
2012-04,93
2012-05,92
2012-06,91
2012-07,55
2012-08,90
2012-09,95
2012-10,99
2012-11,88
2012-12,87
2013-01,82
2013-02,99
2013-03,99
2013-04,88
2013-05,90
2013-06,85
2013-07,86
2013-08,86
2013-09,87
2013-10,98
2013-11,89
2013-12,86
2014-01,84
2014-02,100
2014-03,92
2014-04,91
2014-05,86
2014-06,79
2014-07,83
2014-08,83
2014-09,84
2014-10,93
2014-11,85
2014-12,79
2015-01,74
2015-02,88
2015-03,81
2015-04,78
2015-05,78
2015-06,72
2015-07,73
2015-08,72
2015-09,73
2015-10,82
2015-11,72
2015-12,71
2016-01,67
2016-02,78
2016-03,74
2016-04,68
2016-05,67
2016-06,64
2016-07,63
2016-08,60
2016-09,63
2016-10,68
2016-11,60
2016-12,58
2017-01,57
2017-02,72
2017-03,63
2017-04,60
2017-05,59
2017-06,55
2017-07,53
2017-08,54
2017-09,56
2017-10,62
2017-11,55
2017-12,53
2018-01,51
2018-02,61
2018-03,59
2018-04,51
2018-05,54
2018-06,49
2018-07,47
2018-08,49
2018-09,50
2018-10,54
2018-11,50
2018-12,50
2019-01,52
2019-02,57
2019-03,52
2019-04,50
2019-05,49
2019-06,45
2019-07,42
2019-08,44
2019-09,46
2019-10,54
2019-11,47
2019-12,45
2020-01,43
2020-02,51
2020-03,45
2020-04,57
2020-05,60
2020-06,53
2020-07,49
2020-08,48